Time (s),Thrust (N),Oxidizer Tank Pressure (kPa),Combustion Chamber Pressure (kPa),Injector Pressure Drop (kPa),Oxidizer Mass (kg),Fuel Mass (kg),Oxidizer Mass Flow Rate (kg/s),Fuel Mass Flow Rate (kg/s),Exhaust Mass Flow Rate (kg/s),Oxidizer to Fuel Ratio,Grain ID (cm),Regression Rate (mm/s)
0,0,5060.1283,101.325,0,5.2496221,3.3464796,0,0,0,0,1.26071,0
0.002,0,5060.1283,199.11413,-1.4665895,5.2446276,3.3450693,2.4972361,0.70513176,0.061209747,3.5415169,1.2736831,0.032432764
0.004,66.583065,5058.6617,292.58014,-1.6309423,5.239683,3.3436685,2.4722722,0.70042165,0.1204216,3.5296913,1.2864383,0.031887984
0.006,154.97474,5057.0308,381.23687,-1.6367869,5.2347868,3.3422768,2.4481332,0.69585466,0.17714683,3.5181675,1.2989847,0.031365951
0.008,238.53426,5055.394,465.0598,-1.6239597,5.2299368,3.3408938,2.4249938,0.69145804,0.23107462,3.507073,1.3113314,0.030866735
0.01,317.43055,5053.77,544.19697,-1.609488,5.225131,3.3395194,2.4028928,0.68723789,0.28217177,3.4964499,1.3234872,0.030389498
0.012,391.86437,5052.1605,618.86687,-1.5954247,5.2203674,3.338153,2.3818209,0.68319276,0.33053796,3.4863088,1.3354604,0.029933149
0.014,462.08584,5050.5651,689.3159,-1.5819987,5.2156439,3.3367943,2.361748,0.67931793,0.37627153,3.476646,1.347259,0.029496531
0.016,528.34795,5048.9831,755.79682,-1.5692137,5.2109586,3.3354431,2.3426339,0.6756071,0.41950805,3.4674501,1.3588904,0.029078499
0.018,590.89923,5047.4139,818.55806,-1.5570442,5.2063097,3.334099,2.3244343,0.67205323,0.46038867,3.4587056,1.3703616,0.02867795
0.02,649.97822,5045.8569,877.83825,-1.54546,5.2016955,3.3327617,2.3071035,0.66864904,0.49905349,3.4503952,1.3816792,0.028293842
0.022,705.81094,5044.3114,933.86351,-1.5344306,5.1971143,3.331431,2.2905959,0.66538727,0.53563807,3.4425003,1.3928492,0.027925192
0.024,758.60971,5042.777,986.84638,-1.5239265,5.1925646,3.3301064,2.2748672,0.66226077,0.57027169,3.4350022,1.4038777,0.027571081
0.026,808.57296,5041.253,1036.9856,-1.5139187,5.1880449,3.3287879,2.2598747,0.65926266,0.6030765,3.4278822,1.4147699,0.027230656
0.028,855.89321,5039.7391,1084.4663,-1.50438,5.1835537,3.3274751,2.2455778,0.65638634,0.63416216,3.4211221,1.4255312,0.026903117
0.03,900.73734,5038.2347,1129.4608,-1.4952843,5.1790898,3.3261679,2.2319378,0.65362551,0.66363945,3.4147042,1.4361663,0.026587724
0.032,943.26215,5036.7395,1172.1287,-1.4866068,5.174652,3.3248659,2.2189181,0.65097417,0.69161039,3.4086115,1.4466798,0.026283786
0.034,983.61551,5035.2528,1212.6184,-1.4783245,5.170239,3.3235691,2.2064843,0.64842668,0.7181684,3.4028278,1.457076,0.025990662
